Original, MICs
HC005, HC001
HC006, HC002
HC007, HC003
HC008, HC004
HC009, HC005
HC010, HC006
HC011, HC007
HC012, HC008
HC013, HC009
HC014, HC010
HC015, HC011
HC016, HC012
HC017, HC013
HC018, HC014
HC019, HC015
HC020, HC016
HC022, HC017
HC024, HC018
HC025, HC019
HC026, HC020
HC027, HC021
HC028, HC022
HC030, HC023
HC031, HC024
HC032, HC025
HC034, HC026
HC035, HC027
HC036, HC028
HC037, HC029
HC038, HC030
HC039, HC031
HC040, HC032
HC041, HC033
HC042, HC034
HC043, HC035
HC045, HC036
HC046, HC037
HC047, HC038
HC048, HC039
HC050, HC040
HC051, HC041
HC052, HC042
HC054, HC043
HC055, HC044
HC056, HC045
HC058, HC046
HC059, HC047
HC060, HC048
HC061, HC049
HC062, HC050
